ID,Espnurse,target,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
38,angico,angico,36,27,6,10,36,27,4,8,36,25,4,6,36,26,4,5,24,26,4,4,36,26,1,3,37,27,0,0,37,27,0,0,7,28,0,0
38,angico,cating,19,31,2,2,20,29,2,2,20,28,2,2,19,30,2,2,19,30,2,1,20,30,2,1,19,31,1,1,20,30,0,0,20,30,0,0
38,angico,aroeira,23,31,5,9,25,30,4,9,23,29,4,8,23,30,3,8,37,30,2,5,24,31,2,5,24.5,32,1,4,23,32,0,4,24,32,0,2
111,angico,angico,57,16,17,5,59,17,15,5,57,16,0,3,57,18,0,3,58,17,0,3,58,17,0,3,59,17,0,0,59,17,0,0,57,16,0,0
111,angico,cating,22,49,2,5,45,46,2,3,25,45,0,4,26,47,0,0,26,46,0,0,26,46,0,0,25,46,0,0,26,46.5,0,0,26,45,0,0
111,angico,aroeira,22,36,11,10,24,37,11,10,24,37,7,9,23,35,1,7,23,35,0,4,25,35,2,4,25,36,1,3,24,34.5,0,3,-1,34,-1,0
58,angico,angico,48,52,2,24,53,50,9,23,53,47,0,17,53,52,0,14,43,51,0,7,36,50,0,5,54,48,0,0,56,48,0,0,57,50,0,0
58,angico,cating,33,34,9,3,30,34,2,2,31,33,0,0,31,33,0,2,31,32,0,0,32,34,0,0,31,34,0,0,32,34,0,0,30,34,0,0
58,angico,aroeira,40,39,12,10,38,35,9,10,37,40,0,1,38,40,7,1,38,40,3,1,35,39,2,1,38,38,2,1,38,40,0,0,38,40,0,0
85,angico,angico,44,21,3,4,41,28,3,4,42,26,3,4,41,28.5,3,4,43,28,2,3,43,28,0,3,43,-1,0,-1,42,-1,0,-1,43,-1,0,-1
85,angico,cating,37,13,4,4,34,13,4,4,31,12,1,4,35,13,2,4,35,12,3,3,35,14,2,0,34,13,1,0,35,13,0,0,34,14,0,0
85,angico,aroeira,34,33,8,12,30,32,9,12,24,33,3,5,33,32,3,4,30,32,3,3,24,32,0,2,25,33,0,1,25,33,0,1,24,27,0,0
144,angico,angico,35,30,4,13,33,29,4,12,31,32,4,12,30,61,6,2,33,-1,0,-1,34,-1,0,-1,33,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,angico,cating,27,19,4,2,26,18,3,2,23,18,3,2,27,26,4,3,25,31,3,0,25,19,3,0,25,18,3,0,25,18,1,0,24,18,1,0
144,angico,aroeira,36,31,11,19,35,38,12,19,35,31,7,16,36,31,2,1,36,36,0,0,36,36,0,0,35,35,0,0,35,35,0,0,35,33,0,0
113,algodao,angico,24,61,9,17,31,60,8,5,30,60,7,6,30,61,6,2,33,62,5,4,33,61,0,7,34,-1,0,-1,33,-1,0,-1,-1,-1,-1,-1
113,algodao,cating,27,25,4,4,27,24,5,4,26,24,4,4,27,26,4,3,27,24,3,3,27,24,2,0,27,25,0,0,26,26,0,0,27,12,0,0
113,algodao,aroeira,43,31,9,7,42,29,9,7,43,30,9,4,47,30,6,5,43,30,1,0,43,30,1,0,43,30,0,0,42,-1,0,-1,-1,-1,-1,-1
123,algodao,angico,33,32,7,7,34,29,6,6,35,27,3,5,33,31,3,4,33,32,0,0,34,31,0,0,33,-1,0,-1,32,-1,0,-1,34,-1,0,-1
123,algodao,cating,25,19,4,3,23,21,4,4,24,23,3,2,22,22,4,2,21,21,0,0,22,20,0,0,22,21,0,0,21,22,0,0,21,22,0,0
123,algodao,aroeira,30,34,9,8,28,34,11,8,30,36,10,7,29,35,5,1,29,35,0,0,29,36,0,0,29,35,0,0,30,36,0,0,-1,-1,-1,-1
122,algodao,angico,40,28,8,9,38,26,7,5,39,26,7,4,39,26,7,4,38,28,4,1,41,27,2,1,40,28,0,0,40,29,0,0,40,27,0,0
122,algodao,cating,26,23,2,4,22,23,2,4,20,23,2,4,22,23,2,4,22,23,2,3,21,23,2,3,20,23,2,1,22,23,2,1,27,12,0,0
122,algodao,aroeira,36,27,9,10,36,25,10,9,34,26,10,8,34,27,9,7,35,26,0,2,36,29,0,1,35,26,0,1,35,29,0,4,-1,-1,-1,-1
156,algodao,angico,28,30,10,6,28,29,7,6,25,30,5,5,27,32,6,5,32,28,0,6,28,32,6,0,28,31,2,0,26,32,2,0,26,31,0,0
156,algodao,cating,28,15,5,5,26,41,4,5,28,37,4,5,27,38,5,5,40,32,0,2,28,39,1,0,27,38,0,0,27,39,0,0,27,37,0,0
156,algodao,aroeira,28,31,9,9,31,32,9,5,30,30,8,5,32,31,3,4,31,32,0,1,32,31,0,0,32,31,0,0,32,31,0,0,-1,30,-1,0
157,algodao,angico,38,20,7,6,37,22,7,2,35,22,7,1,38,21,6,1,36,23,3,0,36,23,1,0,39,23,0,0,39,22,0,0,37,-1,0,-1
157,algodao,cating,20,28,3,2,18,30,3,2,15,30,3,2,21,29,5,2,18,29,1,0,21,29,1,0,23,29,0,0,18,31,0,0,22,29,0,0
157,algodao,aroeira,36,35,9,8,31,32,9,5,31,34,7,7,30,35,7,7,32,34,1,2,29,33,1,1,33,33,1,2,32,34,1,0,30,32,0,0
41,burra,angico,41,24,11,4,35,22,3,4,37,21,0,4,38,22,1,3,-1,22,-1,0,-1,22,-1,0,-1,22,-1,0,-1,22,-1,0,-1,22,-1,0
41,burra,cating,31,32,5,1,32,25,5,1,33,27,2,1,31,25,1,1,32,24,0,1,32,26,0,0,32,26,0,0,31,26,0,0,29,0,25,0
41,burra,aroeira,32,30,10,10,30,27,6,10,27,28,3,7,29,28,1,4,30,25,2,0,30,28,0,1,30,29,1,0,31,29.5,0,0,-1,28,-1,0
102,burra,angico,53,33,18,8,55,34,14,5,53,34,0,4,55,34,0,0,56,32,0,0,53,33,0,0,54,34,0,0,54,34,0,0,54,33,0,0
102,burra,cating,34,35,2,2,30,23,2,4,30,22,2,4,31,26,2,4,31,20,0,2,32,26,0,2,31,25,0,0,32,25,0,0,30,25,0,0
102,burra,aroeira,40,23,9,6,38,35,8,6,35,34,0,7,38,35,1,7,39,34,0,3,37,35,0,2,38,37,0,2,38,36,0,2,38,35,0,0
81,burra,angico,22,30,9,8,20,31,7,8,20,30,3,4,20,30,0,2,20,30,0,2,21,30,0,2,21,30,0,1,-1,30,-1,0,-1,30,-1,0
81,burra,cating,20,16,3,4,22,15,3,4,20,16,1,2,21,15,1,2,20,17,0,2,20,16,0,1,21,17,1,1,21,17,0,0,20,15,0,0
81,burra,aroeira,35,29,8,10,36,28,8,10,35,28,3,6,37,25,1,2,36,28,1,1,37,28,1,0,37,28,1,0,36,28,1,0,36,28,0,0
88,burra,angico,36,22,6,3,37,23,6,3,37,21,0,3,36,21,0,2,36,21,0,3,37.5,22,0,1,37,22,0,0,37,21,0,0,37,23,0,0
88,burra,cating,29,15,4,3,27,16,3,2,26,14,3,2,27,13,0,2,29,13,0,2,30,14,0,1,29,11,0,0,29,14,0,0,28,12,0,0
88,burra,aroeira,35,38,10,9,33,38,11,9,34,37,3,3,34,38,2,0,34,37,3,0,34,38,0,0,34,38,0,0,35,38,0,0,35,38,0,0
128,burra,angico,43,37,13,5,42,40,10,5,41,29,9,4,40,39,9,4,44,40,6,0,44,39,5,0,42,39,2,0,42,39,2,0,44,39,0,0
128,burra,cating,27,20,3,2,28,20,4,2,30,20,4,2,30,20,4,2,30,20,0,0,30,18,0,0,29,29,0,0,29,21,0,0,29,20,0,0
128,burra,aroeira,38,33,11,12,36,32,10,13,34,31,7,12,35,34,2,7,36,32,2,0,35,32,1,0,35,32,1,0,37,22,1,0,36,31,0,0
30,catanduva,angico,18,33,3,12,28,32,3,9,19,32,5,7,18,31,9,3,20,32,4,0,19,32,3,0,19,32,4,0,20,-1,4,-1,19,-1,3,-1
30,catanduva,cating,26,25,2,3,32,25,2,3,28,24,2,1,31,23,2,1,30,25,2,0,27,24,2,0,30,-1,1,-1,31,-1,1,-1,29,-1,0,-1
30,catanduva,aroeira,43,40,9,13,46,38,8,13,47,40,6,11,45,40,4,1,47,40,1,2,46,39,0,2,45,39,0,1,47,40,0,2,45,40,0,0
43,catanduva,angico,29,21,7,2,31,27,5,2,31,27,4,2,28,27,3,2,29,27,2,0,28,27,2,0,27,27.5,1,0,29,27,0,0,30,27,0,0
43,catanduva,cating,13,29,3,2,13,22,3,2,14,22,3,2,13,21,1,0,14,21,3,0,14,22,0,0,14,21,0,0,14,21,0,0,14,-1,0,-1
43,catanduva,aroeira,46,25,11,11,37,29,11,14,39,26,8,9,36,27,3,10,38,27,2,4,38,27,1,2,39,27,1,2,39,27,0,3,39,29,0,0
108,catanduva,angico,30,22,6,8,28,21,8,9,28,22,6,9,29,-1,4,-1,28,-1,6,-1,26,-1,0,-1,28,-1,0,-1,29,-1,0,-1,27,-1,0,-1
108,catanduva,cating,26,21,4,2,25,21,4,2,25,19,4,2,24,21,4,2,25,21,4,1,23,19,2,0,26,-1,1,-1,25,-1,0,-1,25,-1,0,-1
108,catanduva,aroeira,31,33,9,10,35,33,10,10,39,26,8,9,33,32,0,6,34,32,0,0,34,33,0,0,34,33,0,0,34,32,0,0,33,32,0,0
65,catanduva,angico,31,32,9,3,29,29,3,7,28,30,1,0,28,31,1,0,29,17,1,0,30,32,1,0,30,32,1,0,-1,32,-1,0,-1,31,-1,0
65,catanduva,cating,30,18,3,4,30,18,4,3,29,17,0,3,29,29,2,3,28,19,1,0,29,20,0,0,30,20,0,0,30,20,0,0,28,-1,0,-1
65,catanduva,aroeira,43,34,8,10,43,32,9,9,41,30,2,0,40,35,3,3,41,34,3,1,41,32,1,1,40,33,1,1,42,34,1,0,40,33,0,0
131,catanduva,angico,28,25,16,9,29,25,15,5,27,24,10,5,30,25,10,4,31,25,3,3,30,24,0,3,28,25,0,1,29,24,0,0,29,25,0,0
131,catanduva,cating,20,20,2,2,17,9,2,2,18,20,2,2,18,20,2,2,17,21,1,2,19,20,1,2,17,20,0,0,17,19,0,0,16,19,0,0
131,catanduva,aroeira,32,38,8,9,33,33,8,9,32,33,6,8,32.5,37,1,7,32,37,0,3,32,35,0,3,32,36,0,2,32,38,0,1,31,36,0,1
21,catingueira,angico,45,32,17,4,43,30,15,4,42,30,0,4,43,32,0,0,43,32,0,0,43,29,0,0,44,-1,0,-1,44,-1,0,-1,43,-1,0,-1
21,catingueira,cating,26,32,2,5,23,34,2,5,23,31,2,2,23,31,2,4,29,30,2,0,24,31,2,0,23,30,0,0,23,29,0,0,23,33,0,0
21,catingueira,aroeira,40,29,10,8,30,28,10,8,29,31,6,7,31,30,0,4,31,28,0,2,30,28,0,2,30,29,0,1,32,29,0,0,30,28,0,0
35,catingueira,angico,24,15,6,6,25,14,5,4,24,14,5,4,24,16,3,4,24,17,0,1,24,15,0,0,34,17,0,0,24,16,0,0,24,17,0,0
35,catingueira,cating,36,45,4,6,34,44,2,7,34,45,2,6,32,44,2,4,24,46,1,3,32,45,0,0,32,45,1,0,32,44,0,0,32,46,0,0
35,catingueira,aroeira,26,41,10,9,27,40,12,9,26,39,11,0,24,40,0,7,33,39,2,3,23,39,0,2,24,39,0,0,23,36.5,0,0,24,40,0,0
64,catingueira,angico,30,24,9,3,29,21,10,4,29,-1,6,-1,29,-1,3,-1,29,-1,2,-1,30,-1,1,-1,30,-1,1,-1,19,-1,0,-1,29,-1,0,-1
64,catingueira,cating,17,35,2,1,17,35,2,1,15,36,0,0,17,35,0,0,17,36,0,0,18,36,0,0,16,45,0,0,17,35,0,0,18,34,0,0
64,catingueira,aroeira,43,25,11,12,38,30,9,8,40,30,0,0,40,31,1,4,42,33,2,1,42,25,2,1,42,0,1,0,41,20,0,0,40,20,0,0
95,catingueira,angico,32,32,18,11,35,29,18,10,36,29,12,5,35,30,10,5,34,30,5,3,33,30,1,3,35,30,0,1,35,30,0,1,34,31,0,0
95,catingueira,cating,23,23,2,2,21,23,2,2,22,23,2,0,22,23,1,0,22,24,1,0,23,23,0,0,22,23,0,0,23,23,0,0,23,23,0,0
95,catingueira,aroeira,34,38,10,8,37,38,10,8,38,35,7,0,36,34,4,0,37,36,2,0,37,35,0,0,37,36,0,0,38,36,0,0,37,36,0,0
127,catingueira,angico,28,43,5,18,30,29,5,0,27,41,4,11,26,44,4,11,27,43,0,3,27,44,0,0,27,43,0,0,26,43,0,0,26,43,0,0
127,catingueira,cating,24,25,2,3,24,30,3,2,25,25,2,3,24,26,2,3,29,27,1,0,28,26,0,2,27,25,0,0,25,27,0,0,28,25,0,0
127,catingueira,aroeira,29,38,12,9,33,36,9,9,28,38,4,10,28,38,4,7,28,37,1,0,28,39,0,4,29,39,0,2,29,39,0,2,29,39,0,1
97,cumaru,angico,37,46,8,10,34,45,8,6,32,48,5,5,34,47,5,1,34,47,4,0,34,47,4,0,34,45,1,0,34,49,0,0,33,47,0,0
97,cumaru,cating,30,30,3,2,27,21,3,2,26,20,3,2,27,34,3,0,28,23,2,1,24,22,1,0,28,23,0,0,27,23,0,0,27,-1,0,-1
97,cumaru,aroeira,32,30,10,10,31,24,10,10,31,24,9,5,31,26,10,7,30,25,6,1,30,24,5,0,31,24,4,0,30,24,3,0,30,25,1,0
149,cumaru,angico,35,14,12,8,33,14,10,7,33,13,7,6,33,14,5,6,33,-1,5,-1,33,-1,5,-1,33,-1,0,-1,33,-1,1,-1,33,-1,0,-1
149,cumaru,cating,21,27,3,5,20,27,5,5,20,26,4,4,21,26,3,0,20,26.5,5,0,20,27,3,0,21,26,4,0,22,28,0,0,20,27,0,0
149,cumaru,aroeira,35,37,12,9,36,40,11,9,37,37,10,8,35,31,9,3,33,36,9,1,34,35,7,1,33,35,6,0,34,37,4,0,34,36,2,0
100,cumaru,angico,34,48,14,8,33,46,8,9,32,45,9,4,32,47,0,0,32,-1,4,-1,33,-1,2,-1,32,-1,2,-1,33,-1,0,-1,33,-1,0,-1
100,cumaru,cating,28,28,3,6,27,30,3,7,27,27,3,5,27,27,3,7,28,26,3,35,28,26,2,2,26,27,0,0,28,27,0,0,26,27,0,0
100,cumaru,aroeira,33,32,9,8,34,36,9,8,35,32,9,5,36,31,9,3,30,32,7,3,-1,27,-1,0,-1,31,-1,0,-1,33,-1,0,-1,-1,-1,-1
53,cumaru,angico,42,54,12,13,40,55,8,7,40,53,6,3,41,44,1,2,41,-1,0,-1,40,-1,0,-1,40,-1,0,-1,38,-1,0,-1,40,-1,0,-1
53,cumaru,cating,16,12,1,3,17,15,1,3,16,12,0,3,15,15,0,3,17,16,0,0,15,15,0,0,17,13,0,0,16,15,0,0,18,14,0,0
53,cumaru,aroeira,27,32,10,13,28,34,11,14,30,32,4,11,30,30,1,7,33,30,0,2,30,32,0,1,30,32,0,0,30,30,0,0,30,30,0,0
23,cumaru,angico,30,28,4,1,30,29,5,0,30,27,4,2,29,29,2,2,30,27,2,1,30,27,0,0,-1,28,-1,0,-1,28,-1,0,-1,-1,-1,-1
23,cumaru,cating,24,32,3,2,24,30,3,2,22,32,3,2,24,30,3,2,24,30,3,1,25,32,0,0,24,30,0,0,13,32,0,0,-1,33,-1,0
23,cumaru,aroeira,35,36,10,10,33,36,9,9,34,39,8,6,33,38,2,6,23,38,3,0,32,29,0,0,33,-1,0,-1,33,-1,0,-1,32,-1,0,-1
138,favelinha,angico,45,37,11,8,45,37,11,8,44,27,7,3,45,27,6,4,22,26,4,0,45,27,4,0,44,27,3,0,55,26,1,0,45,26,0,0
138,favelinha,cating,35,54,1,5,35,54,1,5,33,53,2,9,35,53,3,8,34,53,1,6,35,52,1,1,34,53,2,0,36,52,1,0,35,43,1,0
138,favelinha,aroeira,27,30,9,8,27,30,9,8,24,29,3,6,26,31,1,4,29,31,1,1,26,29,1,1,25,31,0,0,26,32,0,0,25,30,0,0
124,favelinha,angico,27,16,6,6,37,31,2,3,30,15,4,4,28,-1,4,-1,20,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0,-1,16,-1,0,-1
124,favelinha,cating,20,23,4,1,31,27,3,2,29,23,2,1,19,22,2,1,20,22,1,1,20,23,1,1,20,23,0,1,20,22,0,1,18,23,0,0
124,favelinha,aroeira,30,26,10,13,40,28,10,4,28,25,5,8,30,27,2,8,28,26.5,0,2,28,27,0,2,28.5,27,0,2,30,27,0,2,29,26,0,0
153,favelinha,angico,37,20,9,12,40,22,8,11,27,19,8,8,40,22,8,7,40,23,0,3,40,22,0,2,39,22,0,0,41,22,0,0,39,22,0,0
153,favelinha,cating,30,23,1,3,30,22,1,3,29,21,1,3,29,22,1,3,29,21,1,1,29,24,1,1,30,22,1,1,30,-1,0,-1,30,-1,1,-1
153,favelinha,aroeira,40,30,7,9,39,32,8,9,38,28,8,8,38,29,2,2,37,29,1,0,38,30,0,0,37.5,30,0,0,30,31,2,0,-1,30,-1,0
154,favelinha,angico,38,30,2,4,37,31,2,3,36,30,9,3,36,32,8,3,36,32,11,1,36,32,8,1,36,30,0,0,-1,30,-1,0,-1,-1,-1,-1
154,favelinha,cating,32,29,3,3,31,27,3,2,30,29,2,0,32,29,2,0,30,28,2,0,31,29,1,0,30,29,1,0,31,29,1,0,33,29,0,0
154,favelinha,aroeira,34,28,9,11,40,28,10,4,40,31,9,10,40,28,6,2,41,27,1,0,40,27,0,0,41,27,0,0,40,27,0,0,40,31,0,0
155,favelinha,angico,13,26,3,6,14,22,3,6,13,23,3,4,13,24,3,4,13,-1,1,-1,1,-1,1,-1,13,-1,0,-1,13,-1,0,-1,-1,-1,-1,-1
155,favelinha,cating,21,15,6,2,21,20,6,2,21,20,6,2,26,19,6,9,22,19,6,0,22,19,5,0,22,19,1,0,23,19,0,0,22,19,0,0
155,favelinha,aroeira,38,30,10,11,34,32,10,10,32,31,9,10,33,31,3,2,32,32,2,0,31,32,0,0,32,32,0,0,33,32,0,0,31,32,0,0
24,feijao,angico,27,38,22,18,28,38,21,10,27,35,17,1,28,-1,7,-1,28,-1,0,-1,28,-1,0,-1,27,-1,0,-1,25,-1,0,-1,-1,-1,-1,-1
24,feijao,cating,30,19,3,2,30,19,3,3,29,19,2,3,29,15,2,3,30,19,2,0,29,19,0,0,29,20,20,0,30,19,0,0,29,17,0,0
24,feijao,aroeira,42,41,8,11,42,40,8,11,40,41,9,41,40,40,8,10,41,-1,2,-1,40,-1,2,-1,41,-1,3,-1,40,-1,3,-1,40,-1,2,-1
67,feijao,angico,29,31,3,2,28,32,3,2,28,32,0,0,-1,33,-1,0,-1,33,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0,-1,32,-1,0
67,feijao,cating,35,20,13,2,33,19,16,1,30,19,1,0,34,21,0,0,32,19,0,0,34,19,0,0,34,19,0,0,34,19,0,0,33,19,0,0
67,feijao,aroeira,31,30,11,9,29,29,11,9,29,34,4,0,29,33.5,2,1,30,33,2,1,30,33,0,0,30,33.5,1,1,31,23,0,0,31,33,0,0
75,feijao,angico,34,25,6,8,33,23,4,6,32,23,5,3,31,24,4,0,30,23,7,1,32,25,4,0,32,25,1,0,33,24,1,0,-1,-1,-1,-1
75,feijao,cating,30,29,3,4,28,26,3,3,29,27,3,0,28,28,3,0,28,28,3,0,29,27,3,0,29,28,0,0,28,28,0,0,29,-1,0,-1
75,feijao,aroeira,44,44,10,9,44,44,9,9,40,44,0,4,43,43,0,2,42,44,0,1,44,43,0,2,43,44,0,1,42,43,0,1,42,45,0,0
80,feijao,angico,19,41,3,6,19,39,2,6,20,38,3,5,19,40,1,6,20,-1,1,-1,19,-1,1,-1,19,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,feijao,cating,28,20,2,2,28,20,3,2,27,19,2,2,27,20,2,2,28,20,2,2,27,21,1,0,27,20,0,0,-1,21,-1,0,-1,-1,-1,-1
80,feijao,aroeira,29,22,6,7,27,23,5,6,26,21,5,0,28,22,0,0,-1,21,-1,0,-1,22,-1,0,-1,22,-1,0,-1,22,-1,0,-1,20,-1,0
134,feijao,angico,30,33,3,8,27,31,3,6,27,31,3,5,27,30,3,4,29,33,0,0,30,32,0,0,30,32,0,0,28,32,0,0,28,-1,0,-1
134,feijao,cating,28,15,2,2,30,13,2,2,30,13,1,2,30,14,0,0,30,14,0,0,30,14,0,0,31,15,0,0,30,14,0,0,30,13,0,0
134,feijao,aroeira,28,31,11,9,31,30,11,9,32,29,12,7,32,29,2,5,37,30,5,0,33,30,2,0,37,30,1,0,34,31,1,0,37,30,0,0
27,imbiratanha,angico,35,27,8,9,34,27,5,8,35,28,5,2,35,29,3,0,36,29,0,0,35,29,0,0,36,29,0,0,35,26,0,0,35,29,0,0
27,imbiratanha,cating,29,25,2,5,27,27,2,3,29,26,1,2,28,27,0,2,27,24,0,2,28,24,0,2,28,25,0,0,28,27,0,0,29,26,0,0
27,imbiratanha,aroeira,35,32,10,9,30,31,10,9,33,32,9,8,33,33,3,4,33,32,3,2,34,33,2,2,33,33,1,2,34,33,1,1,34,32,0,1
150,imbiratanha,angico,27,24,6,4,28,23,4,4,26,23,2,3,26,23,2,3,26,32,2,3,27,23,2,0,27,24,2,0,27,23,0,0,26,23,0,0
150,imbiratanha,cating,28,26,4,2,22,28,2,3,25,28,2,3,20,28,0,2,21,29,0,0,23,29,0,0,22,29,0,0,22,30,0,0,22,29,0,0
150,imbiratanha,aroeira,27,30,9,7,23,30,16,7,25,33,15,8,25,32,6,7,20,23,2,0,27,31,1,2,21,32,0,2,25,33,0,1,25,33,0,0
73,imbiratanha,angico,43,28,9,11,40,27,9,10,42,29,2,3,42,27,0,0,41,27,0,0,42,27,0,0,42,26,0,0,44,28,0,0,40,27,0,0
73,imbiratanha,cating,10,24,6,3,10,26,6,3,12,23,5,0,10,24,5,1,9,22,4,1,9,24,4,1,9,-1,1,-1,10,-1,0,-1,-1,-1,-1,-1
73,imbiratanha,aroeira,42,31,10,8,38,31,6,7,40,32,0,0,40,32,2,0,39,30,2,0,40,32,1,0,40,30,1,0,38,30,0,0,39,-1,0,-1
78,imbiratanha,angico,33,47,7,9,32,43,6,6,32,43,5,0,30,44,5,0,32,45,4,0,32,45,0,0,32,44,0,0,32,45,0,0,32,45,0,0
78,imbiratanha,cating,17,20,5,4,18,18,6,3,17,18,6,3,17,19,6,3,20,19,3,3,20,19,2,3,20,19,1,3,20,18,0,2,20,-1,0,-1
78,imbiratanha,aroeira,31,40,8,10,30,37,0,6,30,39,0,0,30,38,0,3,30,38,0,3,30,39,0,3,30,38,0,2,30,41,0,2,29,39,0,0
160,imbiratanha,angico,25,34,7,12,25,37,7,6,22,26,4,0,25,36,5,5,25,36,6,5,26,36,4,4,24,36,0,4,26,35,0,2,25,35,0,0
160,imbiratanha,cating,20,20,4,3,20,22,4,3,24,22,3,4,20,22,4,3,20,20,3,1,20,21,0,1,20,21,0,0,21,22,0,0,-1,21,-1,0
160,imbiratanha,aroeira,36,26,12,9,40,26,9,9,30,40,6,0,38,27,7,9,39,26,2,3,36,27,1,3,36,27,1,3,42,27,1,3,39,28,0,0
57,imburana,angico,28,28,7,8,27,25,7,10,27,26,4,0,27,27,4,0,26,26,3,0,28,26,3,0,28,26,3,0,27,26,0,0,-1,27,-1,0
57,imburana,cating,30,22,3,6,23,23,5,7,24,22,3,4,24,22,1,4,23,22,0,4,24,20,0,3,24,23,0,3,25,22,0,0,24,23,0,0
57,imburana,aroeira,27,33,11,8,29,33,11,7,30,40,6,0,29,38,2,3,28,33,0,0,29,33,0,0,28.5,33,0,0,28,36,0,0,28,34,0,0
151,imburana,angico,38,35,10,8,38,30,10,8,34,28,6,4,36,31,5,4,21,30,1,2,32,30,0,0,36,30,0,0,37,32,0,0,37,30,0,0
151,imburana,cating,38,19,3,2,37,20,3,2,38,18,3,2,37,19,3,2,39,19,3,1,39,18,2,0,39,20,2,0,37,19.5,0,0,38,19,0,0
151,imburana,aroeira,41,35,11,10,42,37,11,9,42,38,11,8,42,37,8,5,42,37,2,3,42,37,3,0,42,37,3,2,41,36,3,3,40,35,1,0
74,imburana,angico,30,35,4,18,30,33,4,16,29,34,3,0,29,-1,0,-1,29,-1,0,-1,30,-1,0,-1,30,-1,0,-1,29,-1,0,-1,29,-1,0,-1
74,imburana,cating,17,22,6,3,18,22,6,3,17,23,6,1,19,21,3,1,18,23,2,1,19,23,1,0,-1,21,-1,0,-1,23,-1,0,-1,23,-1,0
74,imburana,aroeira,34,42,8,11,33,41,7,10,33,41,3,0,33,38,0,0,32,41,0,0,34,41,0,2,34,40,0,0,34,40,0,0,33,-1,0,-1
76,imburana,angico,29,39,8,16,28,38,7,3,28,38,6,1,27,-1,5,-1,27,-1,5,-1,28,-1,5,-1,27,-1,0,-1,28,-1,0,-1,27,-1,1,-1
76,imburana,cating,29,18,3,5,30,14,2,5,30,16,2,5,29,18,0,5,29,17,1,4,29,17,0,4,30,18,0,2,35,17,0,0,30,15,0,0
76,imburana,aroeira,40,38,12,7,40,37,11,7,39,35,5,4,42,35,1,3,-1,35,-1,3,-1,36,-1,3,-1,35,-1,2,-1,37,-1,0,-1,34,-1,0
159,imburana,angico,35,35,13,7,34,35,11,6,35,36,10,3,36,36,12,2,36,36,2,0,37,35,2,0,35,36,1,0,35,36,0,0,-1,36,-1,0
